FECHA_MUESTRA,TIPO,UBICACION,GENERO,GRUPO_ETARIO,N
11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,30-39,43
11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,40-49,33
11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,50-59,27
11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,60-69,18
11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,70-79,11
11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,0-19,12
11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,20-29,45
11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,30-39,48
11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,30
11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,16
11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,17
11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,8
11DEC2020:00:00:00,positivos,CEC,M,20-29,2
11DEC2020:00:00:00,positivos,CEC,M,30-39,2
11DEC2020:00:00:00,positivos,Club San Lorenzo,M,20-29,1
11DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,1
11DEC2020:00:00:00,positivos,Edificio Munich,M,50-59,1
11DEC2020:00:00:00,positivos,Terminal Dellepiane,F,20-29,2
11DEC2020:00:00:00,positivos,Terminal Dellepiane,M,20-29,1
11DEC2020:00:00:00,positivos,Terminal Dellepiane,M,40-49,2
11DEC2020:00:00:00,positivos,Terminal Dellepiane,M,50-59,1
12DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,7
12DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,45
12DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,66
12DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,44
12DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,56
12DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,33
12DEC2020:00:00:00,testeos,Callao | USAM,F,70-79,7
12DEC2020:00:00:00,testeos,Callao | USAM,F,80 y más,1
12DEC2020:00:00:00,testeos,Callao | USAM,M,0-19,8
12DEC2020:00:00:00,testeos,Callao | USAM,M,20-29,27
12DEC2020:00:00:00,testeos,Callao | USAM,M,30-39,46
12DEC2020:00:00:00,testeos,Callao | USAM,M,40-49,31
12DEC2020:00:00:00,testeos,Callao | USAM,M,50-59,25
12DEC2020:00:00:00,testeos,Callao | USAM,M,60-69,27
12DEC2020:00:00:00,testeos,Callao | USAM,M,70-79,10
12DEC2020:00:00:00,testeos,Callao | USAM,M,80 y más,1
12DEC2020:00:00:00,testeos,CEC,F,0-19,22
12DEC2020:00:00:00,testeos,CEC,F,20-29,70
12DEC2020:00:00:00,testeos,CEC,F,30-39,108
12DEC2020:00:00:00,testeos,CEC,F,40-49,86
12DEC2020:00:00:00,testeos,CEC,F,50-59,64
12DEC2020:00:00:00,testeos,CEC,F,60-69,62
12DEC2020:00:00:00,testeos,CEC,F,70-79,18
12DEC2020:00:00:00,testeos,CEC,F,80 y más,3
12DEC2020:00:00:00,testeos,CEC,M,0-19,15
12DEC2020:00:00:00,testeos,CEC,M,20-29,62
12DEC2020:00:00:00,testeos,CEC,M,30-39,92
12DEC2020:00:00:00,testeos,CEC,M,40-49,87
12DEC2020:00:00:00,testeos,CEC,M,50-59,76
12DEC2020:00:00:00,testeos,CEC,M,60-69,53
19DEC2020:00:00:00,testeos,Ezeiza,F,60-69,44
19DEC2020:00:00:00,testeos,Ezeiza,F,70-79,15
19DEC2020:00:00:00,testeos,Ezeiza,F,80 y más,2
19DEC2020:00:00:00,testeos,Ezeiza,M,0-19,43
19DEC2020:00:00:00,testeos,Ezeiza,M,20-29,68
19DEC2020:00:00:00,testeos,Ezeiza,M,30-39,152
19DEC2020:00:00:00,testeos,Ezeiza,M,40-49,105
19DEC2020:00:00:00,testeos,Ezeiza,M,50-59,75
19DEC2020:00:00:00,testeos,Ezeiza,M,60-69,42
19DEC2020:00:00:00,testeos,Ezeiza,M,70-79,11
19DEC2020:00:00:00,testeos,Ezeiza,M,80 y más,4
19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,0-19,20
19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,20-29,39
19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,30-39,44
19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,40-49,23
19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,50-59,37
19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,60-69,26
19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,70-79,9
19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,80 y más,1
19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,0-19,14
19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,20-29,31
19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,30-39,44
19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,26
19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,27
19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,15
19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,7
19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,80 y más,1
19DEC2020:00:00:00,positivos,Callao | USAM,F,70-79,1
19DEC2020:00:00:00,positivos,Callao | USAM,M,20-29,2
19DEC2020:00:00:00,positivos,Callao | USAM,M,70-79,1
19DEC2020:00:00:00,positivos,CEC,F,60-69,1
19DEC2020:00:00:00,positivos,CEC,M,30-39,1
19DEC2020:00:00:00,positivos,Edificio Munich,F,20-29,1
19DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,1
19DEC2020:00:00:00,positivos,Ezeiza,F,0-19,10
19DEC2020:00:00:00,positivos,Ezeiza,F,30-39,3
19DEC2020:00:00:00,positivos,Ezeiza,F,40-49,1
19DEC2020:00:00:00,positivos,Ezeiza,F,50-59,1
19DEC2020:00:00:00,positivos,Ezeiza,F,60-69,1
19DEC2020:00:00:00,positivos,Ezeiza,M,0-19,12
