,FECHA_MUESTRA,TIPO,DISPOSITIVO,GENERO,GRUPO_ETARIO,N
230,10DEC2020:00:00:00,positivos,Terminal Dellepiane,M,30-39,1
231,11DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,4
232,11DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,49
233,11DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,35
234,11DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,20
235,11DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,34
236,11DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,15
237,11DEC2020:00:00:00,testeos,Callao | USAM,F,70-79,2
238,11DEC2020:00:00:00,testeos,Callao | USAM,F,80 y más,1
239,11DEC2020:00:00:00,testeos,Callao | USAM,M,0-19,6
240,11DEC2020:00:00:00,testeos,Callao | USAM,M,20-29,26
241,11DEC2020:00:00:00,testeos,Callao | USAM,M,30-39,30
242,11DEC2020:00:00:00,testeos,Callao | USAM,M,40-49,25
243,11DEC2020:00:00:00,testeos,Callao | USAM,M,50-59,16
244,11DEC2020:00:00:00,testeos,Callao | USAM,M,60-69,14
245,11DEC2020:00:00:00,testeos,Callao | USAM,M,70-79,5
246,11DEC2020:00:00:00,testeos,CEC,F,0-19,33
247,11DEC2020:00:00:00,testeos,CEC,F,20-29,94
248,11DEC2020:00:00:00,testeos,CEC,F,30-39,115
249,11DEC2020:00:00:00,testeos,CEC,F,40-49,83
250,11DEC2020:00:00:00,testeos,CEC,F,50-59,62
251,11DEC2020:00:00:00,testeos,CEC,F,60-69,52
252,11DEC2020:00:00:00,testeos,CEC,F,70-79,26
253,11DEC2020:00:00:00,testeos,CEC,F,80 y más,3
254,11DEC2020:00:00:00,testeos,CEC,M,0-19,26
255,11DEC2020:00:00:00,testeos,CEC,M,20-29,77
256,11DEC2020:00:00:00,testeos,CEC,M,30-39,128
257,11DEC2020:00:00:00,testeos,CEC,M,40-49,83
258,11DEC2020:00:00:00,testeos,CEC,M,50-59,79
259,11DEC2020:00:00:00,testeos,CEC,M,60-69,48
260,11DEC2020:00:00:00,testeos,CEC,M,70-79,22
261,11DEC2020:00:00:00,testeos,CEC,M,80 y más,3
262,11DEC2020:00:00:00,testeos,Club San Lorenzo,F,0-19,2
263,11DEC2020:00:00:00,testeos,Club San Lorenzo,F,20-29,3
264,11DEC2020:00:00:00,testeos,Club San Lorenzo,F,30-39,1
265,11DEC2020:00:00:00,testeos,Club San Lorenzo,F,40-49,6
266,11DEC2020:00:00:00,testeos,Club San Lorenzo,F,50-59,4
267,11DEC2020:00:00:00,testeos,Club San Lorenzo,F,60-69,1
268,11DEC2020:00:00:00,testeos,Club San Lorenzo,M,0-19,4
269,11DEC2020:00:00:00,testeos,Club San Lorenzo,M,20-29,2
270,11DEC2020:00:00:00,testeos,Club San Lorenzo,M,30-39,2
271,11DEC2020:00:00:00,testeos,Club San Lorenzo,M,40-49,1
272,11DEC2020:00:00:00,testeos,Edificio Munich,F,0-19,16
273,11DEC2020:00:00:00,testeos,Edificio Munich,F,20-29,94
274,11DEC2020:00:00:00,testeos,Edificio Munich,F,30-39,99
275,11DEC2020:00:00:00,testeos,Edificio Munich,F,40-49,68
276,11DEC2020:00:00:00,testeos,Edificio Munich,F,50-59,50
277,11DEC2020:00:00:00,testeos,Edificio Munich,F,60-69,39
278,11DEC2020:00:00:00,testeos,Edificio Munich,F,70-79,9
279,11DEC2020:00:00:00,testeos,Edificio Munich,F,80 y más,2
280,11DEC2020:00:00:00,testeos,Edificio Munich,M,0-19,15
281,11DEC2020:00:00:00,testeos,Edificio Munich,M,20-29,73
282,11DEC2020:00:00:00,testeos,Edificio Munich,M,30-39,84
283,11DEC2020:00:00:00,testeos,Edificio Munich,M,40-49,52
284,11DEC2020:00:00:00,testeos,Edificio Munich,M,50-59,42
285,11DEC2020:00:00:00,testeos,Edificio Munich,M,60-69,44
286,11DEC2020:00:00:00,testeos,Edificio Munich,M,70-79,10
287,11DEC2020:00:00:00,testeos,Edificio Munich,M,80 y más,1
288,11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,0-19,21
289,11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,20-29,48
290,11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,30-39,43
291,11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,40-49,33
292,11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,50-59,27
293,11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,60-69,18
294,11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,70-79,11
295,11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,0-19,12
296,11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,20-29,45
297,11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,30-39,48
298,11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,30
299,11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,16
300,11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,17
301,11DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,8
302,11DEC2020:00:00:00,positivos,CEC,M,20-29,2
303,11DEC2020:00:00:00,positivos,CEC,M,30-39,2
304,11DEC2020:00:00:00,positivos,Club San Lorenzo,M,20-29,1
305,11DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,1
306,11DEC2020:00:00:00,positivos,Edificio Munich,M,50-59,1
307,11DEC2020:00:00:00,positivos,Terminal Dellepiane,F,20-29,2
308,11DEC2020:00:00:00,positivos,Terminal Dellepiane,M,20-29,1
309,11DEC2020:00:00:00,positivos,Terminal Dellepiane,M,40-49,2
310,11DEC2020:00:00:00,positivos,Terminal Dellepiane,M,50-59,1
311,12DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,7
312,12DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,45
313,12DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,66
314,12DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,44
315,12DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,56
316,12DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,33
317,12DEC2020:00:00:00,testeos,Callao | USAM,F,70-79,7
318,12DEC2020:00:00:00,testeos,Callao | USAM,F,80 y más,1
319,12DEC2020:00:00:00,testeos,Callao | USAM,M,0-19,8
320,12DEC2020:00:00:00,testeos,Callao | USAM,M,20-29,27
